"country","state","country code","state code","Status","","","","","","","","","","","","","","","","","","","","","continent"
"Uruguay","","UY","","Present, no details","","","","","","","","","","","","","","","","","","","","","America"
"China","","CN","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Fujian","CN","fj","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Guangdong","CN","gd","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Guangxi","CN","gx","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Hainan","CN","ha","Present, widespread","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Jiangxi","CN","jx","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Sichuan","CN","sc","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"China","Yunnan","CN","yn","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","","IN","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Andhra Pradesh","IN","an","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Delhi","IN","de","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Goa","IN","ga","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Gujarat","IN","gj","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Haryana","IN","hy","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Jammu & Kashmir","IN","jk","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Karnataka","IN","kt","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Kerala","IN","kr","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Madhya Pradesh","IN","mp","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Maharashtra","IN","mh","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Odisha","IN","or","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Punjab","IN","pj","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Tamil Nadu","IN","tn","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Uttarakhand","IN","ur","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"India","Uttar Pradesh","IN","up","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Indonesia","","ID","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Asia"
"Indonesia","Nusa Tenggara","ID","nt","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Iran","","IR","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Israel","","IL","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Jordan","","JO","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Laos","","LA","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Syria","","SY","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Taiwan","","TW","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Thailand","","TH","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Vietnam","","VN","","Present, no details","","","","","","","","","","","","","","","","","","","","","Asia"
"Cyprus","","CY","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"France","","FR","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Europe"
"France","Corse","FR","cc","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Europe"
"Gibraltar","","GI","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Greece","","GR","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Italy","","IT","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Malta","","MT","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Montenegro","","ME","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Europe"
"Portugal","","PT","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Spain","","ES","","Present, restricted distribution","","","","","","","","","","","","","","","","","","","","","Europe"
"Spain","Islas Baleares","ES","bi","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Türkiye","","TR","","Present, no details","","","","","","","","","","","","","","","","","","","","","Europe"
"Australia","","AU","","Present, no details","","","","","","","","","","","","","","","","","","","","","Oceania"
"Australia","Queensland","AU","ql","Present, no details","","","","","","","","","","","","","","","","","","","","","Oceania"
